,RStation,Country,SMS
2027,Nam Lolwe,Kenya,NO?Atieno odhi School to min gi ogolne jopin pache ka onyaloko to akwayo jopiny mondo wakonye mana kaka sadaka kaka mar Mzee Ogara an Achieng Wuod Nyalwak mar Got kachieng school mia Osito Tipo                                                              
2028,Nam Lolwe,Kenya,hi.we strongly opose early mariages.our gals r forced 2 do this coz of poverty level.many prefer 2 get dowry.lets empower our parents.maurice mar nyahera                                                                                                      
2029,Nam Lolwe,Kenya,"Nyathi ber kosomo makata ka okende to en smart, min gi odhi ir chief kata county ward rep okonye kaka onyalo yudo bursary kata well wishers mondo nyako osom an Emily min Diana-kanga.                                                                         "
2030,Nam Lolwe,Kenya,NO  OWEYE  MONDO  MATIN  IGNI  MODNG  GO  TIN  OFUNMLIA   TU  NIKECH  JAKIMDA  EMA  KEYO  MA  DAVE   OBIA   KANI  SEME  KOWE                                                                                                                                   
2031,Nam Lolwe,Kenya,NO. Because 1. He is still under age. 2. The mother shud not put her mind on atieno on help of being mariage because after all atieno will have to strugle for his family.                                                                                     
2032,Nam Lolwe,Kenya,An  Okinyo  Lido  mar  Manywanda  mano  No. Atieno  odhi  eskul  mon  ngeny  ma  chwogi  Otho  to  gitiyo  matek  kendo  girito  Nyithindo  moloyo   kata  mon  machwogi  ngima  olok  ohala  Nyithindo  osom .  an  ohala  ema  konya   I  am  awidow.        
2033,Nam Lolwe,Kenya,African's voices: joseph omondi  aringo(obach) no? Nikech pod en under age and does'nt have household experince  and so let her finish her education.but early married bring problems after 25yrs (that is when  the body is matured.                          
2034,Nam Lolwe,Kenya,"No,  early   marriage  out  of  choice   should  also   be   warned  of  various  personal   &  health  issues   that   can   complicate   her   life   forever,   JALANGO   OTIENO.                                                                           "
2035,Nam Lolwe,Kenya," No ,the girl's marriage won't end the parents problems.BENARD from migosi ksm.                                                                                                                                                                                "
2036,Nam Lolwe,Kenya,"Jael,Atieno pod tin osom nikech kata ngama dhi kende,ok nyal rite kod mamagi.An job karanja jachiga                                                                                                                                                            "
2037,Nam Lolwe,Kenya,"NO !Tedo mar Atieno chon ok ber nikech oketho health,economy etc an sam okelo uriri oruba village.Early marriage is detrimental hence be discarded!                                                                                                            "
2038,Nam Lolwe,Kenya,Ok ber mondo nyako kend kahike pod tin miyo onyalo yudotuo an peter o oyungu kaan obumba                                                                                                                                                                       
2039,Nam Lolwe,Kenya,Miya no. Atieno mondo a provide ne gik modwaro to ok keny sani. Im 20 years old but able to support her. Billy rodgers frm kamine kwoyo oyugis.                                                                                                                
2040,Nam Lolwe,Kenya,No Atieno should continue with her education story ya marriage baadaye whts wrong with maparos they 4got we r in digital generation.merii-mela wa carwash.                                                                                                     
2041,Nam Lolwe,Kenya,Miya simba ja uriri mar ema jalamo bang oro na no. Atieno. Nyakwar opere billy rodgers.                                                                                                                                                                        
2042,Nam Lolwe,Kenya,"I say No To Atieno's intended early or child marriage!cos it may lead to circle of poverty,ignorance etc Rose -awendo                                                                                                                                          "
2043,Nkhotakota,Malawi,AYI  ASAKWATIWE INE   George  chiwayo                                                                                                                                                                                                                          
2044,Nkhotakota,Malawi,AYI ASAKWATILE APHUZILE KAE FRM CHIFUNDO MTEKATEKA                                                                                                                                                                                                             
2045,Nkhotakota,Malawi,"AYI WASAKWATIwE chifukwa mwanayo akaphuzira adzayima payekha ndikuwathandiza amayiwakewo,BY THOKO MATAWALE ku Chombo.                                                                                                                                          "
2046,Nkhotakota,Malawi,AYI.apitirize xool chifukwa akaphunzira adzathandiza amayi ake mavuto awo onse (am khumbo kausen frm Lozi Tc)                                                                                                                                                  
2047,Nkhotakota,Malawi,AYI ASAKWATIWE ADZAWATHANDIZE AKADZAPHUZIRA.MWANA WA MKAZI AKAPHUZIRA TAPHUZITSA DZIKO                                                                                                                                                                         
2048,Nkhotakota,Malawi,"AYI MWANAYO ASAKWATIWE,APITILIZE SUKULU.KETWELL MONJEZI.                                                                                                                                                                                                       "
2049,Nkhotakota,Malawi,Ine ESTHER(NTCHISI)ndikuti 'AYI ASAKWATIWE' BCZ akaphunzir- a adzayamba ntchito ndipo a-zidzawathandiza.                                                                                                                                                       
2050,Nkhotakota,Malawi,  AYI ASAKWATIWE EYEYO AKOZE TSOGOLO LAKE IYEYO SIMAYANKHO OTHETSELA MAVUTO APABAJAPO. INE HARRY MZUZI KU CHASOLO. MALOMO. NTCHISI.                                                                                                                            
2051,Nkhotakota,Malawi,ASAKWATIWE AYI  INE  MOYO    OMULIPILA  ALIPO                                                                                                                                                                                                                  
2052,Nkhotakota,Malawi,"AYI ASAKWATIWE,KOMA AMAYI A ELINA AYAMBE BUSINESS YANDALAMA YOCHEPA YOMWE AZITHANDIZIRA ABALE AKE SINCE ELINA'S FUTURE IS SO BRIGHT.(LINDA IMANI, MTENTHERA )                                                                                                  "
2053,Nkhotakota,Malawi,AYI ASAKWATILE                                                                                                                                                                                                                                                 
2054,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2055,Nkhotakota,Malawi,AYI ELINA ASAKWATIWE.                                                                                                                                                                                                                                          
2056,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2057,Nkhotakota,Malawi,AYI ASAKWATIWE.  Essau Chalera kwa M'nthanje ku Liwaladzi                                                                                                                                                                                                      
2058,Nkhotakota,Malawi,AYI  ASAKWATIWE                                                                                                                                                                                                                                                
2059,Nkhotakota,Malawi,AYI ASAKWATIWE TSOGOLO LABWINO NDI SUKULU.UKWATI SUMATHA AKONZE TSOGOLO LAKE ELLINA. INE ELLINA KANKHOMBA.                                                                                                                                                     
2060,Nkhotakota,Malawi,AYI ASAKWATIWE TSOGOLO LABWINO NDI SUKULU.UKWATI SUMATHA AKONZE TSOGOLO LAKE ELLINA. INE ELLINA KANKHOMBA.                                                                                                                                                     
2061,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2062,Nkhotakota,Malawi,AYI  ASAKWATIWE                                                                                                                                                                                                                                                
2063,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2064,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2065,Nkhotakota,Malawi,Ayi asakwatiwe.                                                                                                                                                                                                                                                
2066,Nkhotakota,Malawi,AYI ASAKWATIWE.                                                                                                                                                                                                                                                
2067,Nkhotakota,Malawi,"Ai,elina asakwatiwe apitilize sukulu.amaiwo apilile mavuto akuwaonawo.                                                                                                                                                                                         "
2068,Nkhotakota,Malawi,AYI WASAKWATILE                                                                                                                                                                                                                                                
2069,Nkhotakota,Malawi,AYI ASAWATILE ELINA  INE FELIX                                                                                                                                                                                                                                 
2070,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2071,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2072,Nkhotakota,Malawi,AYI  ASAKWATIWE                                                                                                                                                                                                                                                
2073,Nkhotakota,Malawi,AYI                                                                                                                                                                                                                                                            
2074,Nkhotakota,Malawi,AYI APITILIZE SCHOOL.                                                                                                                                                                                                                                          
2075,Nkhotakota,Malawi,AI ASAKWAKWATIWE. INE AMISI NYIRONGO                                                                                                                                                                                                                           
2076,Nkhotakota,Malawi,AYI  ASAKWATIWE.                                                                                                                                                                                                                                               
2077,Nkhotakota,Malawi,ASAKWATIWE INEYO NDIMUTHANDIZA ZAKU SCHOOL KOMASO KUCHAKUDYA NDIZINA ZAUMOYO WAKE. NDITSOGOLO LAMAWA AMENEYO. NDIYE ASAKWATIWE.                                                                                                                                
2078,Nkhotakota,Malawi,"AYI ASAKWATIWE,MTSIKANAYI.      K. KENAMU                                                                                                                                                                                                                      "
2079,Nkhotakota,Malawi,AYI  ASAKWATIWE                                                                                                                                                                                                                                                
2080,Nkhotakota,Malawi,ASAKWATIWE.                                                                                                                                                                                                                                                    
2081,Nkhotakota,Malawi,AYI ASAKWATIWE.                                                                                                                                                                                                                                                
2082,Nkhotakota,Malawi,AYI   ASAKWATIWE   OLEMBA   INE   ESAWO   L   JAULO    CHAZAMA   V/G.                                                                                                                                                                                          
2083,Nkhotakota,Malawi,AYI ASAKWATIWA APITIRIZE SCHOOL KUTI AKATHANDIZE MAKOLO AKE.INE DAVID CHOLEMELA KUNO KWA VYOVYO BENGA                                                                                                                                                          
2084,Nkhotakota,Malawi,AYI ASAKWATILE. INE SARAH JAMES KU CHIDIDI SECONDARY SCHOOL 4M 4LO.                                                                                                                                                                                            
2085,Nkhotakota,Malawi,AYI ASAKWATIWE.   K. KENAMU                                                                                                                                                                                                                                    
2086,Nkhotakota,Malawi,AYI  ASAKWATILE                                                                                                                                                                                                                                                
2087,Nkhotakota,Malawi,AYI                                                                                                                                                                                                                                                            
2088,Nkhotakota,Malawi,AYIII! ASAKWATIWE                                                                                                                                                                                                                                              
2089,Nkhotakota,Malawi,AYI  ASAKWATILE                                                                                                                                                                                                                                                
2090,Nkhotakota,Malawi,ANYI  ASAKWATIRE                                                                                                                                                                                                                                               
2091,Nkhotakota,Malawi,AYI  ASAKWATILE                                                                                                                                                                                                                                                
2092,Nkhotakota,Malawi,AYI ASAKWATIRE.                                                                                                                                                                                                                                                
2093,Nkhotakota,Malawi,AYI ASAKWATIWA APITIRIZE SCHOOL KUTI AKATHANDIZE MAKOLO AKE.                                                                                                                                                                                                   
2094,Nkhotakota,Malawi,AYI                                                                                                                                                                                                                                                            
2095,Nkhotakota,Malawi,AYI ASAKWATIWE.                                                                                                                                                                                                                                                
2096,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2097,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2098,Nkhotakota,Malawi,AYI ASAKWATIWE.                                                                                                                                                                                                                                                
2099,Nkhotakota,Malawi,AYI  ASAKWATIWE  AKOZETSOGOLO  LAKE.NDINE  LUPIYA  PAWL.  KWACHIKHO.                                                                                                                                                                                           
2100,Nkhotakota,Malawi,AYI ELINA ASAKWATIWE.                                                                                                                                                                                                                                          
2101,Nkhotakota,Malawi,"INE,  IDRISA KAMKWAMBA. AYI,  ASAKWATIWE.                                                                                                                                                                                                                      "
2102,Nkhotakota,Malawi,"INE,  IDRISA KAMKWAMBA. AYI,  ASAKWATIWE.                                                                                                                                                                                                                      "
2103,Nkhotakota,Malawi,AYI ASAKWATILE APITILIZE SCHOOL NDIZAKUTHANDIZANI INE M.P WAKU NKHATA BAY                                                                                                                                                                                      
2104,Nkhotakota,Malawi,AYI ELINA ASAKWATIWE                                                                                                                                                                                                                                           
2105,Nkhotakota,Malawi,"""AYI,ASAKWATIWE.{ GIFT  PHIRI,  CHAMLANDU}                                                                                                                                                                                                                     "
2106,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2107,Nkhotakota,Malawi,IYIASAKWATIWE                                                                                                                                                                                                                                                  
2108,Nkhotakota,Malawi,AKWATIWE                                                                                                                                                                                                                                                       
2109,Nkhotakota,Malawi,AYI ASAKWATIWE (INE   WANYURA  KUNO  KULOZI)                                                                                                                                                                                                                   
2110,Nkhotakota,Malawi,AYI ASAKWATIWE (INE   WANYURA  KUNO  KULOZI)                                                                                                                                                                                                                   
2111,Nkhotakota,Malawi,AYI ASAKWATILE                                                                                                                                                                                                                                                 
2112,Nkhotakota,Malawi,IYIASAKWATIWE                                                                                                                                                                                                                                                  
2113,Nkhotakota,Malawi,AYI ASAKWATIWE (INE   WANYURA  KUNO  KULOZI)                                                                                                                                                                                                                   
2114,Nkhotakota,Malawi,AYI ASAKWATIWE (INE   WANYURA  KUNO  KULOZI)                                                                                                                                                                                                                   
2115,Nkhotakota,Malawi,"AYI AKWATIWE (ENOCK LONGWE,THALE1 SCHOOL)                                                                                                                                                                                                                      "
2116,Nkhotakota,Malawi,ASAKWATIWE AYI     INE MABVUTO PHILI   BOMA SALIMA.                                                                                                                                                                                                            
2117,Nkhotakota,Malawi,AI ASAKWATIWE. NDINE BORN BOSCOR.                                                                                                                                                                                                                              
2118,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2119,Nkhotakota,Malawi,AYI ASAKWITIWE                                                                                                                                                                                                                                                 
2120,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2121,Nkhotakota,Malawi,AYI  ASAKWATIWE  KOMA  AMAYIWO  NIBWINO  APEZESO  MAMUNA  WINA  OSATI  ASOKONEZE  TSOGORO  LAMWANAYO  AYI  CHIFUKWA  MWANAYO  AKAPHUZILA  NDIYE  ADZATHANDIZA  BANJA  LIMENERI  INE  EDWIN  KALEMBENI  KUNO  KUCHANDULU  SCHOOL  KAZIP                         
2122,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2123,Nkhotakota,Malawi,INE   SADYA  KUNO  KWA  KASAKULA   AYI  ASAKWATIRE.  IWO  ADIKILE  ZABWINO   ZIRI  MTSOGORO                                                                                                                                                                    
2124,Nkhotakota,Malawi,AYI ASAKWATIWE.                                                                                                                                                                                                                                                
2125,Nkhotakota,Malawi,AYIASAKWATIWE                                                                                                                                                                                                                                                  
2126,Nkhotakota,Malawi,AYI                                                                                                                                                                                                                                                            
2127,Nkhotakota,Malawi,AYI ASAKWATIRE THI IS FRANCIS ADILO                                                                                                                                                                                                                            
2128,Nkhotakota,Malawi,AYI ASAKWATIWE                                                                                                                                                                                                                                                 
2129,Nkhotakota,Malawi,AYI ASAKWATIWE.                                                                                                                                                                                                                                                
2130,Nkhotakota,Malawi,AI ASAKWATIWE                                                                                                                                                                                                                                                  
2131,Nkhotakota,Malawi,AYI.ASAKWATIWE                                                                                                                                                                                                                                                 
2132,Nkhotakota,Malawi,AYI ASAKWATILE                                                                                                                                                                                                                                                 
2133,Mudzi Wathu,Malawi,AYI CHIFUKWA NDIKUMUPHELA TSOGOLO NDINE DICKSON KUNO KOLIMUNGA KUDOWA                                                                                                                                                                                          
2134,Mudzi Wathu,Malawi,Ayi.popeza mwanayo amasenza udindo wawukholo asanakhwime maganizo moyowakeso umakhala pangozi .ndine Erick kachikoti kwa mseche.                                                                                                                               
2135,Mudzi Wathu,Malawi,Ayi sibwino kumukakamiza chifukwa ameneyo akadali mwana komanso malamulo adziko lino salola mwana wa zaka 15 kukhala pabanja. Sir JNZ Meke chikulumba vge.                                                                                                     
2136,Mudzi Wathu,Malawi,Ayi sibwino Chifukwa amadzavutika pa nthawi yobereka.Ine Dyson kuno ku Mtasaka.                                                                                                                                                                                
2137,Mudzi Wathu,Malawi,"AYI SIBWINO MABANJA SALIMBA MABANJA OTELE ANDSO ZOTELE MAPETO NDIMA OPALECHONI KUFAKUMENE MAKOLO OTELE AZILANDILA CHILANGO, (LUMBANI KAMANGA @ GILIME)                                                                                                         "
2138,Mudzi Wathu,Malawi,"Ayi,si bwino.chifukwa,ukwatiwa,uli mwana suthawa mavuto koma utana mavuto.ine ,samuel chatepa,kuno kwa mphanga                                                                                                                                                 "
2139,Mudzi Wathu,Malawi,AYI Chifukwa umphawiwo siutha. SEMU NZINDO KHUNGWA VILLAGE                                                                                                                                                                                                     
2140,Mudzi Wathu,Malawi,"Ayi sibwino,palibe kuthesa vuto ndikukwatiwisa mwana afunika ku sukulu.Ine willam.Kuno ku vubwi zambia.                                                                                                                                                        "
2141,Mudzi Wathu,Malawi,"Ayi sibwno mwayi wa mawa sudziwika kochokera.mwina mawa mwanayo ndamene angatigwire dzanja mawa ife titakalamba,aphunzire mwanao,ninnie nyasulu,kabudula                                                                                                       "
2142,Mudzi Wathu,Malawi,"AYI,SIBWINO,KUKWATIWIT SA,MWANAWAMNG'ONOP OPEZA,MWANAYO,SIMAYA NKHO,AMAVUTO,AMAKOL OWA.INE,ALIFOSINA,(MAI,K ADZIOTCHE).KWAMSAKAD ZIKO,KUNAMBUMA.                                                                                                               "
2143,Mudzi Wathu,Malawi,SIBWINO AYI CHIFUKWA IMFA ZA AMAYII OYEMBEKEZERA ZOMWE ZIKUCHULUKA NDI ZA ANA NGATI AMENEWA NDIBWINO KUWALIMBIKITSA KUPITA KUSULU KUTI IWOWO ADZADZIDALIRE PATSOGOLO FROM ALEX KAYO ... MPONDA                                                                 
2144,Mudzi Wathu,Malawi,Ayi sibwino chifukwa mavuto samatha kutelo ndikuwo njezela mavuto ndine elisa kadombe kwa kabuwe kukasungu                                                                                                                                                     
2145,Mudzi Wathu,Malawi,Ndine Chikaiko sibwino kutelo chifukwa banja lamakolo akewo sadatiakathetsa ndiye mavuto ayi kuno kwa Mtsindo                                                                                                                                                  
2146,Mudzi Wathu,Malawi,AYI SIMBINO CHIFUKWA UMPHAWI SUKUTHA NDINE MBUSA TSANI KWA NYOMGAN                                                                                                                                                                                             
2147,Mudzi Wathu,Malawi,AYI Chifukwa nzelu zake sizinakhwime. SEMU NZINDO KHUNGWA VILLAGE MISALE.                                                                                                                                                                                      
2148,Mudzi Wathu,Malawi,"Ayi sibwino-Mulekeni mwanayo aphunzire pamawa lidzakhala thandizo lanu.Ine Jamison Nthondowa,kawiya vg,Nambuma, DA.                                                                                                                                            "
2149,Mudzi Wathu,Malawi,AYI SIBWINO KUKWATIWITSA MWANA ALI WACHICHEPELE CHIFUKWA MWANAYO ALI KUMUPHELA TSOGOLO LAKE LOMWE AKANAWATHANDIZA IWO AMENE NDINE FUMBI KUNO KWAMZIKUOLA.2                                                                                                     
2150,Mudzi Wathu,Malawi,Ayi.sibwino.bright.chibwe.kas ungu                                                                                                                                                                                                                             
2151,Mudzi Wathu,Malawi,"Ayi sibwino kukwatiwitsa mwana ali wam'ngono mkumulakwira, Ine Mai Gift Mngwangwa kuno kwasandulizen T.a kayembe.                                                                                                                                              "
2152,Mudzi Wathu,Malawi,AYI.SIBWINO.POTI.AKAKW ATIWAMAVUTO                                                                                                                                                                                                                             
2153,Mudzi Wathu,Malawi,AYI.SIBWINO.POTI.AKAKW ATIWAMAVUTO.NDINE.LEM BELAN.KWAKUMKWALA.KU KAPILI                                                                                                                                                                                       
2154,Mudzi Wathu,Malawi,ayi sibwino kutelo ine labisoni kuno kwa santhe k .u                                                                                                                                                                                                           
2155,Mudzi Wathu,Malawi,ayi sibwino kutelo ine labisoni kuno kwa santhe k .u                                                                                                                                                                                                           
2156,Mudzi Wathu,Malawi,ayi sibwino kutelo ine labisoni kuno kwa santhe k .u                                                                                                                                                                                                           
2157,Gorongosa,Mozambique,Recebeu uma mensagem do 867896571 Nao dve ser casada sou pedro d ESEM. Obrigado                                                                                                                                                                                
2158,Gorongosa,Mozambique,nao nao casamento prematuro nao da pra aceitar.jk                                                                                                                                                                                                              
2159,Gorongosa,Mozambique,Boa tard aq fala Benedita do internato. Nao porq o casamento n é unico refugio para ultrapassar as dificuldads da vida.                                                                                                                                        
2160,Gorongosa,Mozambique,"nao da para aceitar...nao da para aceitar...casamento prematuro fora das alunas,isto so pode ser violenssa. Prof.jk em dassa                                                                                                                                   "
2161,Gorongosa,Mozambique,So a mae pode casare xadreque                                                                                                                                                                                                                                  
2162,Gorongosa,Mozambique,PUTO MATIKITI NAO PODE CASAR                                                                                                                                                                                                                                   
2163,Gorongosa,Mozambique,Aginada nao pode casar deve estudar so a mae pode casar para sustentar as crianças . Sou eu pedrito aqui no mapombue mudicua                                                                                                                                   
2164,Gorongosa,Mozambique,NAO DEVE CASAR PRIMEIRO CONCLUIR A ESCOLA VER EMPREGO I O SEGUNDO CASAR JOAO BAIRO MATUCUDUR SOU ESTUDANTE DA ESCOLA SECUNDARIA CRISTO REI GORONGOSA.                                                                                                          
2165,Gorongosa,Mozambique,"Bob Swega,ela nao deve casar deve continuar a estudar amanha sera ofuturo .www guita.com                                                                                                                                                                       "
2166,Gorongosa,Mozambique,Sou eu jota jota. Nao deve casar porque casar nao é soluÇao d tudo e se estudar podera dar muito no futura da familia .                                                                                                                                        
2167,Gorongosa,Mozambique,"Nao deve se casa,porque nao acabar com a pobreza da familia. Firmina celeste sembero. Apartir d Mapombue                                                                                                                                                       "
2168,Gorongosa,Mozambique,NOA EDUARDO NAO PODE CASAR                                                                                                                                                                                                                                     
2169,Gorongosa,Mozambique,charles eduardo chaibande nao pode casar                                                                                                                                                                                                                       
2170,Gorongosa,Mozambique,NAO DEVE CASA.SI CASA A SITUACAO VAI SER GRAVE PARA A MAE.POR ISO ELA ESTUDE.SOU EU DANCA DE TSIQUIR.                                                                                                                                                          
2171,Gorongosa,Mozambique,gabriel victorino nao pode casar                                                                                                                                                                                                                               
2172,Gorongosa,Mozambique,"nao deve casar porque o marido k vai ter, nunca vai  terminar com a pobresa dela. Sou Lusaca Manuel, em mapombue.                                                                                                                                              "
2173,Gorongosa,Mozambique,Ela nao pode casa so xadreqe queniasse                                                                                                                                                                                                                         
2174,Gorongosa,Mozambique,"Eu claudio, seguranca da loja movitel, ela nao pode cazar deve continuar a estudar  para oseu melhor futuro o amanha                                                                                                                                           "
2175,Gorongosa,Mozambique,NAO PONDE SE CASAR SE A FAMILIA NA TEM PONDER FALEM COM GOVERNO PARA AJUDAR ? SANTINHA TAMA TOMO APARTIR NA AUTÁQUIA DE GORONGOSA BAIRRO MATUCUDOR APATR D ESCOLA E S E M G ?                                                                                  
2176,Gorongosa,Mozambique,nao pode casar so pode continuar a estudar                                                                                                                                                                                                                     
2177,Gorongosa,Mozambique,Ela não deve casa so deve fazer chegar o asunt ao adminístrado  porq deve ir a escola é a solucão de tudo                                                                                                                                                      
2178,Gorongosa,Mozambique,Ela nao pode casar deve estudar                                                                                                                                                                                                                                
2179,Gorongosa,Mozambique,Sou Natalia aki nhmssngora.Nao pd csar.Ela dve xtudar pra amanha ajudar as irmazinhas delas.                                                                                                                                                                   
2180,Gorongosa,Mozambique,Os alunos da 5classe turma A na EPC d Nhambondo(a menina nao pode casar vamos estudar colega o destino ta cm Deus).                                                                                                                                            
2181,Gorongosa,Mozambique,"NAO PODE CASAR.SINAO VAI PIORAR A SITUACAO,AMAE DEVE SER INPREENDEDORA OU CASA.BOLINGO ALUNO DA ESCOLA EDUARDO M.CANDA.                                                                                                                                        "
2182,Gorongosa,Mozambique,gabriel victor so deve continuar a estudar                                                                                                                                                                                                                     
2183,Gorongosa,Mozambique,"SOU EU AMERICO MARICHEIRA APARTR D NHAMSSONGORA,NAO PD CASAR,DVE ESTDAR PARA FUTURO DA MANHA.                                                                                                                                                                  "
2184,Gorongosa,Mozambique,"AGINADA TEM KI ESTUDAR,NAO HA UM MARIDO KI PODE SUSTENTAR A SUA FAMLIA.SOU LUCAS TENESSE DA 1CLASSE NA EPC D NHAMBONDO.                                                                                                                                        "
2185,Gorongosa,Mozambique,"Mestre jeremias apartir do domingos ubaleathu ,Nao deve casar pois no caso sera o casamento prematuro e sera ploblemas sociais no prossimo.                                                                                                                    "
2186,Gorongosa,Mozambique,Nao.porque ela se conseguir terminar xtdr e trabalhar sera melhor futura pra ela juntamente com a mae.boa tard JULIO MUIANGA NA VILA D GORONGOSA.                                                                                                              
2187,Gorongosa,Mozambique,"Ela nào dve casar, quando sao esses tipos casos, aproxima o Administrador d Gorongosa, para velar xta situacao, Bandeìra, forcas xpeciais, comandos.                                                                                                           "
2188,Gorongosa,Mozambique,Nao pode casa .pur k nao sera a solucao para combater a pobresa k a a familha enflenta. Luis  Tandike estudante da 11 classe A02 Eduardo Mondlane.                                                                                                             
2189,Gorongosa,Mozambique,"Lucas Manuel Tenesse em nhambondo=a agina tem ki continuar a estudar pork apesar da vida n se improvisar mas sim investe si, mas tem k estdar menma pra seu bem.                                                                                               "
2190,Gorongosa,Mozambique,A MENINA NÃO DEVE CASAR MAS A MÃE SIM DEVE CASAR PARA SUSTENTAR AS MENINAS POR K O HOMEM K IRÁ CASAR AMENINA NÃO ACEITARÁ TIRAR O DINHEIRO DE LOBOLO E SUSTENTAR AS CUNHADINHAS E A SOGRA. LEOPOLDINA DA PISTA.                                                
2191,Gorongosa,Mozambique,NAO DEVE CASAR SOU EU GERMIAS.                                                                                                                                                                                                                                 
2192,Gorongosa,Mozambique,nao deve casar e bom estudar sonia                                                                                                                                                                                                                             
2193,Gorongosa,Mozambique,"Ela nao pod.pork a idde e k diz. mais ter na mente k a escola nao e a fonte da riqueza nao e nenhum prblema.[bom progrm]comprment para o locutor,Julio Muinga, ainda mais pra toda a familia da igrja CRISTO VIVE. sou Hino.                                   "
2194,Gorongosa,Mozambique,NAO DEVE CASAR DEVE ESTODAR ESCOLA ET0DO SOU EU ERNESTO NHANCUCO                                                                                                                                                                                               
2195,Gorongosa,Mozambique,Nao Deve Casa Tenqui Continuar Com Os Estudo.Inacio                                                                                                                                                                                                            
2196,Gorongosa,Mozambique,NAO DEVE CAZAR PORQUE AUMENTALA A SUA APOBLEZA.                                                                                                                                                                                                                
2197,Gorongosa,Mozambique,"Boa tard sou Tita, nao dve casar é preciso abraçar a xcola, pork a xcola é a melhor enxada. Marido d hoje nao se confia.                                                                                                                                       "
2198,Gorongosa,Mozambique,SOU BITONE AMIGO DE FREND DOS SANTO.ALUNO DA ESCOLA SECUNDARIA GERAL DE NHAMATANDA.ALUNO DE 11 CLASSE. AO DEVO  CASAR.PORQUEM EU PESO NO FUTURO.                                                                                                               
2199,Gorongosa,Mozambique,Aginada tem ki estudar pork a pobreza nao mata apenas desgrassa.e leite n se pode salgar.lucas manuel tenesse_nhambondo.                                                                                                                                       
2200,Gorongosa,Mozambique,Nao deve cazar sinao ade ver nadica de cobara so mateus                                                                                                                                                                                                        
2201,Gorongosa,Mozambique,A Ginada Nao Deve Casar Hoje Em Dia Nao A Homem Qui Pode Siportar A Famila  De Molher Nome Carlos Jose Canda                                                                                                                                                   
2202,Gorongosa,Mozambique,Nao deve casar. Pork o futuro dela esta nas maos da escola. Nao sera a soluÇao de lhe fazer casar com essa idade. Rosa Belarmino pai d chinha.                                                                                                                 
2203,Gorongosa,Mozambique,Nao pode cazar sinao vai  ver nadica de cobara                                                                                                                                                                                                                 
2204,Gorongosa,Mozambique,Nâo se deve casar o Governo poderia ajudar ela para continuar a estudar.Charles Mucodza                                                                                                                                                                        
2205,Gorongosa,Mozambique,NAO  DEVE  CASAR  AMENINA  SO  A  MAE  DEVE  CASAR  SOU  EU  ZACARIAS                                                                                                                                                                                          
2206,Gorongosa,Mozambique,A MAE É K DEVE SE CASAR. PASTOR SPEED MAPOMBUE                                                                                                                                                                                                                 
2207,Gorongosa,Mozambique,A MENINA NAO PODE CASAR DEVE CONTINUAR A ESTUDAR.TRECELINA ARAUJO.BAIRRO MATUCUDUR                                                                                                                                                                             
2208,Gorongosa,Mozambique,NAO DEVE CASAR.FUTURO DELA E A ESCOLHA DELA.DEUS LHE BENCOA.DONATE MAPOMBUE                                                                                                                                                                                    
2209,Gorongosa,Mozambique,"Samuel domingos chota,nao deve casar so chore em deus favor minha colega aginada.                                                                                                                                                                              "
2210,Gorongosa,Mozambique,"ela nao deve se casar,porque se casar sedo nao é acabar com pobreza..paulinoaraujo.bairro matucudur.                                                                                                                                                           "
2211,Gorongosa,Mozambique,"Casar e ideia d pobreza,e digo ela minha colega que igonore essa ideia d casar.samuel.                                                                                                                                                                         "
2212,Gorongosa,Mozambique,não pode casar deve acontinuar a estudar sou eu camilo estoa aqui na escola                                                                                                                                                                                    
2213,Gorongosa,Mozambique,"Casar e ideia d pobreza,e digo ela minha colega que igonore essa ideia d casar.                                                                                                                                                                                "
2214,Gorongosa,Mozambique,Amenina naô podé sel casada  teng qúi estúdal  meú nome chamo me mo                                                                                                                                                                                            
2215,Gorongosa,Mozambique,NAO PODE CASAR DEVE ESTUDAR PARA VER A VIDA  DE AMANHA.EU SOU DANCA DE TSIQUIR.                                                                                                                                                                                
